raw_description,vat_code,cleaned_description,label
HMRC SHIPLEY 986  UK,outside_scope,hmrc shipley 986 uk,1
UBER EATS 1093 LEEDS DIRECT REF-3912,standard_rate,uber eats 1093 leeds direct ref 3912,3
Card Trainline 2785  Direct,zero_rated,card trainline 2785 direct,4
IZ *WESTMINSTER COUNCIL 2663 LONDON UK REF-7119,outside_scope,iz westminster council 2663 london uk ref 7119,1
CARD SAINSBURYS  PLC REF-2785,zero_rated,card sainsburys plc ref 2785,4
HMRC PAYMENTS LEEDS,outside_scope,hmrc payments leeds,1
PAYMENT TO PAYROLL TRANSFER  ONLINE REF-9583,outside_scope,payment to payroll transfer online ref 9583,1
octopus energy 4748 uk online,reduced_rate,octopus energy 4748 uk online,2
SQ *DELIVEROO 9417 GLASGOW STORE,standard_rate,sq deliveroo 9417 glasgow store,3
CARD UBER EATS UK PLC REF-8659,standard_rate,card uber eats uk plc ref 8659,3
ASDA SUPERMARKET LEEDS PLC,zero_rated,asda supermarket leeds plc,4
ADOBE CREATIVE 4005  LTD REF-3018,standard_rate,adobe creative 4005 ltd ref 3018,3
google workspace  direct,standard_rate,google workspace direct,3
Dd Quickbooks Uk,standard_rate,dd quickbooks uk,3
DD MICROSOFT 365 6037 LEEDS UK REF-4964,standard_rate,dd microsoft 365 6037 leeds uk ref 4964,3
SQ *DELIVEROO 4551 LONDON DIRECT REF-9748,standard_rate,sq deliveroo 4551 london direct ref 9748,3
CARD BARCLAYS BANK BIRMINGHAM STORE,exempt,card barclays bank birmingham store,0
Payment To Xero Software 5451 Bristol,standard_rate,payment to xero software 5451 bristol,3
CARD TRAINLINE 8784  LTD,zero_rated,card trainline 8784 ltd,4
DD ALDI STORES BRISTOL LTD,zero_rated,dd aldi stores bristol ltd,4
SQ *AMAZON KINDLE 9280  ONLINE REF-6996,zero_rated,sq amazon kindle 9280 online ref 6996,4
CARD SAGE SUBSCRIPTION MANCHESTER REF-2305,standard_rate,card sage subscription manchester ref 2305,3
IZ *NATIONAL EXPRESS BRISTOL,zero_rated,iz national express bristol,4
Sq *Deliveroo Birmingham Ltd,standard_rate,sq deliveroo birmingham ltd,3
SQ *BARCLAYS BANK 3926 LONDON ONLINE,exempt,sq barclays bank 3926 london online,0
IZ *UBER EATS 4406 BRISTOL PLC,standard_rate,iz uber eats 4406 bristol plc,3
SQ *AVIVA INSURANCE 9891 LEEDS UK REF-2602,exempt,sq aviva insurance 9891 leeds uk ref 2602,0
Pos Hmrc Payments Leeds Uk,outside_scope,pos hmrc payments leeds uk,1
POST OFFICE 1419  STORE REF-1984,exempt,post office 1419 store ref 1984,0
"2025-03-04 CLOVER SALES DEPOSIT 3,163.93 25,527.79",standard_rate,2025 03 04 clover sales deposit 3 163 93 25 527 79,3
"2026-02-24 US FOODS 3,286.06 35,800.04",standard_rate,2026 02 24 us foods 3 286 06 35 800 04,3
POS OCTOPUS ENERGY  DIRECT REF-7009,reduced_rate,pos octopus energy direct ref 7009,2
DD GOOGLE WORKSPACE 7048 BIRMINGHAM DIRECT REF-1284,standard_rate,dd google workspace 7048 birmingham direct ref 1284,3
payment to lner tickets 6424 bristol store ref-7972,zero_rated,payment to lner tickets 6424 bristol store ref 7972,4
DD AMAZON EU  STORE REF-8567,standard_rate,dd amazon eu store ref 8567,3
SQ *BOOTS UK 1948 LEEDS DIRECT REF-1984,standard_rate,sq boots uk 1948 leeds direct ref 1984,3
OCTOPUS ENERGY 2610 LEEDS PLC REF-9883,reduced_rate,octopus energy 2610 leeds plc ref 9883,2
POS AVIVA INSURANCE MANCHESTER PLC,exempt,pos aviva insurance manchester plc,0
sq *hmrc shipley 7175 uk plc,outside_scope,sq hmrc shipley 7175 uk plc,1
IZ *DIRECTOR DRAWINGS 5516  DIRECT,outside_scope,iz director drawings 5516 direct,1
CARD SAGE SUBSCRIPTION 8275 LONDON UK,standard_rate,card sage subscription 8275 london uk,3
DD DELIVEROO UK STORE REF-7881,standard_rate,dd deliveroo uk store ref 7881,3
"Mar 26 Republic Services - Trash ACH-2211 310.00 82,464.80",standard_rate,mar 26 republic services trash ach 2211 310 00 82 464 80,3
