raw_description,vat_code
DD ROYAL MAIL 8854  LTD,exempt
DD STATIONERY STATION  DIRECT REF-8557,standard_rate
SQ *BOOTS UK 3839 LONDON STORE REF-3285,standard_rate
CARD PAYROLL TRANSFER BRISTOL PLC,outside_scope
SQ *INTRA ACCOUNT TRANSFER 4818 GLASGOW REF-8752,outside_scope
IZ *AMAZON KINDLE 3210  LTD REF-7941,zero_rated
Pos Edf Energy 6347 Online Direct Ref-3269,reduced_rate
SQ *UBER EATS 8864  UK,standard_rate
linkedin premium bristol plc,standard_rate
Card Sainsburys 123 London Online Ref-7164,zero_rated
iz *uber eats 7596 birmingham uk ref-6318,standard_rate
Dd Boots Uk 4097  Online Ref-4800,standard_rate
CARD TFL TRAVEL  DIRECT,zero_rated
PAYMENT TO EDF ENERGY 1170 LONDON UK,reduced_rate
XERO SOFTWARE 902  REF-9486,standard_rate
SQ *WATERSTONES 6022  REF-8756,zero_rated
SQ *BARCLAYS BANK 4949 ONLINE PLC REF-9627,exempt
CARD DELIVEROO 7601 GLASGOW DIRECT REF-3219,standard_rate
CARD LINKEDIN PREMIUM 2210  STORE,standard_rate
CARD HMRC SHIPLEY 9889  UK,outside_scope
PAYMENT TO BARCLAYS BANK  DIRECT,exempt
Asda Supermarket 6125 Leeds Ref-9955,zero_rated
iz *amazon eu 646 manchester direct,standard_rate
POS QUICKBOOKS 7964 LONDON UK,standard_rate
CARD AMAZON EU LEEDS PLC,standard_rate
CARD POST OFFICE 2311 LEEDS ONLINE,exempt
IZ *MICROSOFT 365 7034  DIRECT REF-4918,standard_rate
CARD SAGE SUBSCRIPTION 2971 BIRMINGHAM ONLINE,standard_rate
POS OCTOPUS ENERGY 3421 BRISTOL REF-1399,reduced_rate
Pos Waterstones 8753 Manchester Uk,zero_rated
IZ *AA BREAKDOWN 7905 LEEDS UK REF-5036,exempt
IZ *LNER TICKETS 6441  STORE REF-1683,zero_rated
SQ *TRAINLINE  LTD,zero_rated
ALDI STORES  UK,zero_rated
SQ *TFL TRAVEL LEEDS UK REF-1969,zero_rated
sq *lner tickets 6524 birmingham online,zero_rated
iz *hmrc shipley 1446 bristol ltd,outside_scope
POS BARCLAYS BANK 796 ONLINE STORE,exempt
card deliveroo 8273 online uk ref-5626,standard_rate
Payment To Amazon Kindle 9306 Online Online Ref-8159,zero_rated
DD QUICKBOOKS 7450 GLASGOW STORE REF-7789,standard_rate
DELIVEROO 5270 ONLINE LTD REF-7297,standard_rate
Pos Quickbooks 366 Leeds Online Ref-4776,standard_rate
WESTMINSTER COUNCIL 9586 BRISTOL STORE,outside_scope
IZ *HMRC PAYMENTS 5844 LEEDS ONLINE REF-9877,outside_scope
DD TFL TRAVEL BRISTOL,zero_rated
IZ *LINKEDIN PREMIUM  PLC,standard_rate
Iz *Amazon Uk 6010 Uk Direct Ref-7471,standard_rate
pos payroll transfer 9242 leeds plc ref-1872,outside_scope
ROYAL MAIL  LTD,exempt
PAYMENT TO AMAZON UK 7860 LEEDS,standard_rate
IZ *DELIVEROO GLASGOW LTD,standard_rate
Payment To Amazon Kindle Online Uk Ref-3501,zero_rated
SQ *AA BREAKDOWN  STORE,exempt
POS SAINSBURYS 2825  REF-1725,zero_rated
POS BARCLAYS BANK 6948  UK REF-1899,exempt
STATIONERY STATION LEEDS,standard_rate
Pos Payroll Transfer 8052 Leeds Direct Ref-8117,outside_scope
Iz *Director Drawings  Direct,outside_scope
CARD PAYROLL TRANSFER 5128 GLASGOW,outside_scope
microsoft 365 8976 uk,standard_rate
Iz *Asda Supermarket 5717  Ref-8419,zero_rated
Intra Account Transfer 6434 Uk Online,outside_scope
pos amazon kindle  store,zero_rated
PAYMENT TO EDF ENERGY 2148 LEEDS ONLINE REF-6782,reduced_rate
AMAZON UK 6458 UK UK,standard_rate
pos xero software bristol store,standard_rate
PAYMENT TO GOOGLE WORKSPACE 2613  REF-7357,standard_rate
sq *tesco stores 1871 birmingham online,zero_rated
HMRC PAYMENTS  STORE REF-5725,outside_scope
POS PAYROLL TRANSFER 9067  PLC,outside_scope
DD TESCO EXPRESS 8111 LEEDS UK,zero_rated
TESCO EXPRESS 4481 LONDON STORE,zero_rated
iz *eon next 7572,reduced_rate
POS AA BREAKDOWN BRISTOL PLC REF-6366,exempt
IZ *INTRA ACCOUNT TRANSFER GLASGOW DIRECT,outside_scope
CARD POST OFFICE BIRMINGHAM ONLINE,exempt
Sq *Boots Uk 9757 Manchester Uk Ref-5917,standard_rate
Dd Amazon Eu  Plc,standard_rate
POS MICROSOFT 365 9327 LEEDS LTD,standard_rate
CARD HMRC SHIPLEY 1631 GLASGOW ONLINE REF-8484,outside_scope
sq *director drawings 9051 birmingham store,outside_scope
BOOTS UK 2017 ONLINE STORE,standard_rate
CARD AMAZON UK 4482  REF-9444,standard_rate
PAYMENT TO BRITISH GAS 1813 LONDON ONLINE REF-1129,reduced_rate
POS AMAZON EU LEEDS DIRECT,standard_rate
CARD HSBC BANK FEES 4666 ONLINE REF-1344,exempt
IZ *WATERSTONES 365 GLASGOW STORE,zero_rated
payment to octopus energy online,reduced_rate
national express 3003 manchester,zero_rated
CARD SAGE SUBSCRIPTION BIRMINGHAM UK REF-7583,standard_rate
DD TESCO STORES  STORE REF-4750,zero_rated
PAYMENT TO TESCO STORES 7719  ONLINE REF-7043,zero_rated
DD BOOTS UK MANCHESTER PLC REF-2144,standard_rate
Card Trainline  Uk Ref-5749,zero_rated
dd westminster council 4944  store,outside_scope
SQ *ADOBE CREATIVE 8742  REF-5471,standard_rate
Pos Trainline  Online,zero_rated
DD BARCLAYS BANK 2198 LEEDS LTD REF-5490,exempt
IZ *ROYAL MAIL  LTD REF-7694,exempt
Pos Quickbooks,standard_rate
IZ *HMRC PAYMENTS 3450,outside_scope
POS AVIVA INSURANCE 6618  ONLINE,exempt
Iz *Tfl Travel 4219 London Uk,zero_rated
