raw_description,vat_code,base_merchant
DD ROYAL MAIL 8854  LTD,exempt,ROYAL MAIL
DD STATIONERY STATION  DIRECT REF-8557,standard_rate,STATIONERY STATION
SQ *BOOTS UK 3839 LONDON STORE REF-3285,standard_rate,BOOTS UK
CARD PAYROLL TRANSFER BRISTOL PLC,outside_scope,PAYROLL TRANSFER
SQ *INTRA ACCOUNT TRANSFER 4818 GLASGOW REF-8752,outside_scope,INTRA ACCOUNT TRANSFER
IZ *AMAZON KINDLE 3210  LTD REF-7941,zero_rated,AMAZON KINDLE
Pos Edf Energy 6347 Online Direct Ref-3269,reduced_rate,EDF ENERGY
SQ *UBER EATS 8864  UK,standard_rate,UBER EATS
linkedin premium bristol plc,standard_rate,LINKEDIN PREMIUM
Card Sainsburys 123 London Online Ref-7164,zero_rated,SAINSBURYS
iz *uber eats 7596 birmingham uk ref-6318,standard_rate,UBER EATS
Dd Boots Uk 4097  Online Ref-4800,standard_rate,BOOTS UK
CARD TFL TRAVEL  DIRECT,zero_rated,TFL TRAVEL
PAYMENT TO EDF ENERGY 1170 LONDON UK,reduced_rate,EDF ENERGY
XERO SOFTWARE 902  REF-9486,standard_rate,XERO SOFTWARE
SQ *WATERSTONES 6022  REF-8756,zero_rated,WATERSTONES
SQ *BARCLAYS BANK 4949 ONLINE PLC REF-9627,exempt,BARCLAYS BANK
CARD DELIVEROO 7601 GLASGOW DIRECT REF-3219,standard_rate,DELIVEROO
CARD LINKEDIN PREMIUM 2210  STORE,standard_rate,LINKEDIN PREMIUM
CARD HMRC SHIPLEY 9889  UK,outside_scope,HMRC SHIPLEY
PAYMENT TO BARCLAYS BANK  DIRECT,exempt,BARCLAYS BANK
Asda Supermarket 6125 Leeds Ref-9955,zero_rated,ASDA SUPERMARKET
iz *amazon eu 646 manchester direct,standard_rate,AMAZON EU
POS QUICKBOOKS 7964 LONDON UK,standard_rate,QUICKBOOKS
CARD AMAZON EU LEEDS PLC,standard_rate,AMAZON EU
CARD POST OFFICE 2311 LEEDS ONLINE,exempt,POST OFFICE
IZ *MICROSOFT 365 7034  DIRECT REF-4918,standard_rate,MICROSOFT 365
CARD SAGE SUBSCRIPTION 2971 BIRMINGHAM ONLINE,standard_rate,SAGE SUBSCRIPTION
POS OCTOPUS ENERGY 3421 BRISTOL REF-1399,reduced_rate,OCTOPUS ENERGY
